DATE,All Items,Food & Beverages,Energy,Housing
2000-01-01,169.3,165.3,196.0,273.3
2000-02-01,170.0,166.1,196.5,276.2
2000-03-01,171.0,166.4,196.9,275.5
2000-04-01,170.9,166.6,197.3,276.4
2000-05-01,171.2,167.4,197.8,277.6
2000-06-01,172.2,167.5,198.4,278.4
2000-07-01,172.7,168.5,198.8,279.8
2000-08-01,172.7,169.0,199.3,281.2
2000-09-01,173.6,169.1,199.9,283.9
2000-10-01,173.9,169.0,200.5,284.2
2000-11-01,174.2,169.2,201.0,285.5
2000-12-01,174.6,170.2,201.6,287.1
2001-01-01,175.6,170.4,202.2,288.6
2001-02-01,176.0,171.6,202.8,288.2
2001-03-01,176.1,172.1,203.6,289.3
2001-04-01,176.4,172.5,204.3,290.5
2001-05-01,177.3,172.8,205.1,291.6
2001-06-01,177.7,173.5,205.9,294.7
2001-07-01,177.4,174.0,206.5,296.7
2001-08-01,177.4,174.4,207.4,299.2
2001-09-01,178.1,174.4,208.1,304.1
2001-10-01,177.6,175.1,209.0,305.8
2001-11-01,177.5,175.1,209.9,305.8
2001-12-01,177.4,174.7,210.7,296.7
2002-01-01,177.7,175.4,211.4,302.9
2002-02-01,178.0,175.7,212.0,312.2
2002-03-01,178.5,176.2,212.7,313.2
2002-04-01,179.3,176.7,213.4,314.8
2002-05-01,179.5,175.5,213.9,316.9
2002-06-01,179.6,175.2,214.5,318.3
2002-07-01,180.0,175.3,215.1,319.9
2002-08-01,180.5,175.1,215.5,320.5
2002-09-01,180.8,175.4,216.2,321.8
2002-10-01,181.2,175.0,216.7,321.4
2002-11-01,181.5,175.7,217.2,324.6
2002-12-01,181.8,175.9,217.7,324.4
2003-01-01,182.6,176.0,218.3,329.3
2003-02-01,183.6,177.2,218.6,330.7
2003-03-01,183.9,177.5,218.9,331.5
2003-04-01,183.2,177.6,219.0,331.9
2003-05-01,182.9,177.9,219.3,333.1
2003-06-01,183.1,179.2,219.3,334.7
2003-07-01,183.7,179.0,219.8,336.6
2003-08-01,184.5,180.0,220.2,338.5
2003-09-01,185.1,180.5,220.7,337.1
2003-10-01,184.9,181.4,221.3,339.3
2003-11-01,185.0,182.7,221.8,337.1
2003-12-01,185.5,183.9,222.0,345.2
2004-01-01,186.3,183.3,222.4,345.0
2004-02-01,186.7,183.7,222.8,346.6
2004-03-01,187.1,184.1,223.3,347.1
2004-04-01,187.4,184.3,224.0,349.1
2004-05-01,188.2,186.6,224.4,350.2
2004-06-01,188.9,187.0,224.9,351.3
2004-07-01,189.1,187.2,225.3,351.5
2004-08-01,189.2,187.0,225.8,353.1
2004-09-01,189.8,186.4,226.1,352.1
2004-10-01,190.8,187.7,226.4,353.3
2004-11-01,191.7,188.6,226.7,355.2
2004-12-01,191.7,188.4,227.1,357.6
2005-01-01,191.6,188.1,227.7,356.5
2005-02-01,192.4,187.7,228.3,357.8
2005-03-01,193.1,188.1,228.7,359.1
2005-04-01,193.7,190.0,229.0,361.2
2005-05-01,193.6,190.2,229.5,363.2
2005-06-01,193.7,189.6,229.8,364.7
2005-07-01,194.9,190.0,230.3,366.6
2005-08-01,196.1,189.8,230.7,364.0
2005-09-01,198.8,190.2,231.2,372.1
2005-10-01,199.1,190.6,231.6,372.9
2005-11-01,198.1,191.4,232.2,374.2
2005-12-01,198.1,191.7,232.7,375.1
2006-01-01,199.3,192.5,233.4,378.2
2006-02-01,199.4,192.2,234.1,380.4
2006-03-01,199.7,192.3,234.9,381.8
2006-04-01,200.7,191.8,235.8,383.2
2006-05-01,201.3,191.8,236.9,386.0
2006-06-01,201.8,192.4,238.0,388.6
2006-07-01,202.9,192.8,238.9,389.1
2006-08-01,203.8,193.4,239.7,390.6
2006-09-01,202.8,194.3,240.4,392.6
2006-10-01,201.9,194.8,241.3,396.6
2006-11-01,202.0,194.6,242.0,398.8
2006-12-01,203.1,194.4,242.7,400.2
2007-01-01,203.437,195.918,243.345,404.449
2007-02-01,204.226,197.735,244.02,406.52
2007-03-01,205.288,198.816,244.602,412.808
2007-04-01,205.904,199.25,244.993,414.756
2007-05-01,206.755,200.237,245.236,416.509
2007-06-01,207.234,201.151,245.69,418.287
2007-07-01,207.603,201.596,246.149,421.41
2007-08-01,207.667,202.338,246.815,426.747
2007-09-01,208.547,203.3,247.487,427.251
2007-10-01,209.19,204.081,248.075,429.259
